Código,Nome,Volume,Última (R$),Variação
SBFG3,Grupo SBF,3.356.900,14,40,+2,13%
BRKM5,Braskem,3.268.900,29,55,-1,66%
CPFE3,CPFL Energia,3.186.700,33,13,+2,70%
IRBR3,IRB Brasil RE,3.051.000,40,61,+5,78%
RECV3,PetroRecôncavo,2.980.100,20,10,+3,93%
DXCO3,Dexco,2.940.700,9,25,-2,32%
BRSR6,Banrisul,2.924.500,14,90,+1,92%
MEAL3,IMC Alimentação,2.804.300,2,70,+3,05%
QUAL3,Qualicorp,2.781.700,4,80,-0,83%
ODPV3,Odontoprev,2.765.100,12,10,+3,77%
ELET6,Eletrobras,2.748.100,44,73,+0,83%
KLBN4,Klabin,2.711.700,4,51,-2,17%
ARZZ3,Arezzo,2.706.800,79,86,+3,53%
RCSL4,Recrusul,2.643.300,0,85,+10,39%
MBLY3,Mobly,2.582.700,4,01,+1,78%
PLPL3,Plano&Plano,2.578.000,9,85,+5,69%
MYPK3,Iochpe-Maxion,2.570.700,13,24,+1,15%
CURY3,Cury,2.548.800,14,90,-2,10%
ZAMP3,Zamp,2.525.300,5,90,+6,12%
FLRY3,Fleury,2.504.300,15,72,+0,00%
TRPL4,Transmissão Paulista,2.463.900,25,31,-0,28%
INTB3,Intelbras,2.390.000,25,54,-0,82%
TEND3,Construtora Tenda,2.358.500,9,52,+2,59%
VIVA3,Vivara,2.338.200,28,23,+1,04%
KEPL3,Kepler Weber,2.234.700,8,92,-0,45%
POSI3,Positivo,2.196.600,9,59,-0,93%
BRAP4,Bradespar,2.191.700,23,21,-0,64%
HBOR3,Helbor,2.168.900,3,75,+8,07%
GUAR3,Guararapes,2.158.500,6,88,+0,73%
BPAN4,Banco Pan,2.105.200,9,11,+1,33%
SLCE3,SLC Agrícola,2.103.800,36,90,-0,30%
SBSP3,Sabesp,1.946.500,55,60,+0,29%
GRND3,Grendene,1.894.000,7,56,+0,40%
SMTO3,São Martinho,1.868.300,37,34,-0,82%
ENAT3,Enauta,1.778.400,14,88,+6,06%
TRIS3,Trisul,1.757.700,5,79,+5,66%
KRSA3,Kora Saúde,1.711.200,1,07,-4,46%
ESPA3,Espaçolaser,1.696.800,1,93,-0,52%
CSMG3,COPASA,1.696.300,20,87,+0,77%
SLED4,Saraiva,1.664.100,2,85,+42,50%
MILS3,Mills,1.652.500,12,15,+2,10%
SAPR4,Sanepar,1.591.100,4,40,+0,46%
PCAR3,Grupo Pão de Açúcar,1.583.400,17,30,-2,75%
MDIA3,M. Dias Branco,1.576.600,41,26,+0,15%
SEER3,Ser Educacional,1.520.500,5,10,+1,59%
PSSA3,Porto Seguro,1.484.000,27,66,+1,24%
CXSE3,Caixa Seguridade,1.478.600,10,40,+0,78%
EGIE3,Engie,1.409.700,45,31,+0,09%
AZEV4,Azevedo & Travassos,1.393.500,1,95,+13,37%
CPLE3,Copel,1.303.700,7,74,-0,13%
AESB3,AES Brasil,1.302.400,12,16,+0,08%
DOTZ3,Dotz,1.275.500,1,59,-14,97%
