Código;Nome;Volume;Última (R$);Variação
SBSP3;Sabesp;1946500;55,6;0,29
GRND3;Grendene;1894000;7,56;0,4
SMTO3;São Martinho;1868300;37,34;0,82
ENAT3;Enauta;1778400;14,88;6,06
TRIS3;Trisul;1757700;5,79;5,66
KRSA3;Kora Saúde;1711200;1,7;-4,46
ESPA3;Espaçolaser;1696800;1,93;0,52
CSMG3;COPASA;1696300;20,87;0,77
SLED4;Saraiva;1664100;2,85;42,5
MILS3;Mills;1652500;12,15;2,1
SAPR4;Sanepar;1591100;4,4;0,46
PCAR3;Grupo Pão de Açúcar;1583400;17,3;-2,75
MDIA3;M. Dias Branco;1576600;41,26;0,15
SEER3;Ser Educacional;1520500;5,1;1,59
PSSA3;Porto Seguro;1484000;27,66;1,24
CXSE3;Caixa Seguridade;1478600;10,4;0,78
EGIE3;Engie;1409700;45,31;0,09
AZEV4;Azevedo & Travassos;1393500;1,95;13,37
CPLE3;Copel;1303700;7,74;0,13
AESB3;AES Brasil;1302400;12,16;0,08
DOTZ3;Dotz;1275500;1,59;-14,97
CAML3;Camil Alimentos;1259500;7,87;0,63
AMBP3;Ambipar;1237000;20,16;-1,13
EVEN3;Even;1230900;6,85;2,24
ENJU3;Enjoei;1179700;1,37;-2,14
BRIT3;Brisanet;1100100;2,73;1,11
PTBL3;Portobello;1055900;7,28;-2,67
TASA4;Taurus;1038200;14,61;-2,14
POMO3;Marcopolo;1036200;4,22;1,2
GGPS3;GPS;951300;16,1;0,19
ATMP3;Atma;914800;1,3;11,11
RANI3;Irani;905400;9,18;-1,61
ABCB4;Banco ABC Brasil;839500;18,8;0,05
WIZC3;Wiz Soluções;827100;6,62;2,8
RNEW3;Renova Energia;821700;1,61;4,55
ITUB3;Itaú Unibanco;774600;24,77;0,77
PGMN3;Pague Menos;763500;4,32;1,17
CSED3;Cruzeiro do Sul Educacional;754500;4,24;6
TUPY3;Tupy;721000;26,46;0,42
BMGB4;Banco BMG;664700;2,69;0
SQIA3;Sinqia;663300;21,96;0,54
RNEW4;Renova Energia;632900;1,67;6,37
BOAS3;Boa Vista;620400;7,84;0,13
PORT3;Wilson Sons;587200;13,86;2,67
SGPS3;Springs;578400;3,47;-5,71
PNVL3;Dimed;574300;12,43;-1,66
VIVR3;Viver;560200;3,23;-1,22
TTEN3;3tentos;532800;12,68;0,32
KLBN3;Klabin;515400;4,54;-2,58
LUPA3;Lupatech;507500;3,47;-1,42
ORVR3;Orizon;505100;36,77;-1,71
BLAU3;Blau Farmacêutica;477100;21,4;0,57
LOGG3;LOG CP;471900;23,67;3,5
SHUL4;Schulz;467100;5,97;0
AGRO3;BrasilAgro;466300;24,55;0,85
OIBR4;Oi;455700;2,47;5,56
JFEN3;João Fortes;452800;3,8;47,29
OPCT3;OceanPact;419300;4,36;0,93
MTRE3;Mitre Realty;409200;6,65;2,62
ARML3;Armac;404300;14,67;0,62
DASA3;Dasa;400300;10,9;2,83
LAVV3;Lavvi Incorporadora;397800;6,64;2
MDNE3;Moura Dubeux;396800;9,1;0,89
BMOB3;Bemobi;374100;14,15;0,07
AZEV3;Azevedo & Travassos;371100;1,94;10,23
NINJ3;GetNinjas;370100;3,7;8,82
VLID3;Valid;343200;15,35;1,72
ALPK3;Estapar;335100;4,7;-2,63
MATD3;Mater Dei;329400;10,89;0,73
SHOW3;Time For Fun;323500;2,6;-4,41
WEST3;Westwing;302000;1,33;1,53
UNIP6;Unipar;295000;79,57;0,2
HBRE3;HBR Realty;294400;5,28;0,19
JALL3;Jalles Machado;293200;8,3;0,24
ETER3;Eternit;293000;12;-1,23
CLSA3;ClearSale;279200;7,27;1,82
USIM3;Usiminas;261300;7,46;0,53
FRAS3;Fras-le;260600;12,73;0,55
ITSA3;Itaúsa;255900;10;0,5
SAPR3;Sanepar;250200;4,2;0,48
VULC3;Vulcabras;249800;17,3;0
SOJA3;Boa Safra Sementes;246700;10,75;0,09
ROMI3;Indústrias ROMI;245600;17,67;-1,28
FIQE3;Unifique;230900;4,1;0,97
JSLG3;JSL;227000;8,7;-1,47
CMIG3;CEMIG;218000;18,74;2,4
PRNR3;Priner;217600;9,32;0,22
FESA4;Ferbasa;204100;47,9;1,48
SYNE3;SYN;202200;3,96;0,76
RSID3;Rossi Residencial;194100;5;-3,47
INEP4;Inepar;191200;3,74;-4,83
VITT3;Vittia;183300;11,3;-1,05
AALR3;Alliar;183000;23,28;0,3
PINE4;PINE;179000;2,85;-1,38
TCSA3;Tecnisa;174600;3,95;4,22
TAEE4;Taesa;172300;12,64;0,32
LEVE3;Mahle Metal Leve;170400;45,76;0,07
PDTC3;Padtec;169800;3,26;4,82
IGTI3;Iguatemi;168200;2,82;0,71
IGTI3;Jereissati Participações;168200;2,82;0,71
LPSB3;Lopes;163100;2,69;1,51
PDGR3;PDG Realty;159100;6,44;1,9
ALLD3;Allied;149500;6,78;-1,74
TGMA3;Tegma;141200;22,7;0,93
LOGN3;Log-In;138600;51,12;0,53
MELK3;Melnick;138500;4,17;0,24
BOBR4;Bombril;135300;1,88;0,53
SANB3;Banco Santander;130500;14,6;1,6
TECN3;Technos;122800;3,27;0,3
TPIS3;Triunfo;120200;4,51;-2,17
SANB4;Banco Santander;117600;16,61;0,54
RPMG3;Refinaria de Manguinhos;98900;2,35;5,38
AGXY3;AgroGalaxy;95200;6;-3,23
TFCO4;Track & Field;93200;12,19;2,52
INEP3;Inepar;84600;4,94;-1,2
HAGA4;Haga;82900;1,32;2,33
EUCA4;Eucatex;82100;11,34;0,98
GGBR3;Gerdau;78000;22,93;0,48
LVTC3;WDC Networks;77100;6,85;3,32
PFRM3;Profarma;75200;3,99;0,75
CTSA4;Santanense;73300;3,44;-5,75
BRPR3;BR Properties;73000;72,1;0,03
TAEE3;Taesa;71800;12,59;0,16
CAMB3;Cambuci;70800;9,72;0,82
DEXP3;Dexxos;64700;9,65;0,52
BRAP3;Bradespar;62400;21,19;0,09
PMAM3;Paranapanema;61300;4,89;-2,78
SLED3;Saraiva;57700;8,21;0
GOAU3;Metalúrgica Gerdau;57100;11,65;0,6
BAHI3;Bahema;50800;8,59;-2,05
AVLL3;Alphaville;49600;7,2;2,56
VVEO3;Viveo;44500;20,28;-1,27
CTNM4;Coteminas;43500;3,46;-1,98
DESK3;Desktop;43300;11,5;0,88
CSUD3;CSU Cardsystem;38700;13,88;1,02
IGTI4;Jereissati Participações;38000;10;1,42
IGTI4;Iguatemi;38000;10;1,42
